id,first_name,middle_name,last_name,name_suffix,salutation,salutation_standardized,date_of_birth,email_address,phone,home_address,home_unit,home_city,home_state,home_zip_code,party,race,gender,status,registration_date,registration_source,shift_id,shift_type,office,program_state,partner_id,field_start,field_end,shift_start,shift_end,citizenship_confirmed,phone_type,submitted_via_state_api,evc_id
1,Maria,L,Gonzalez,,Ms.,Ms.,1990-04-12,maria.gonzalez@gmail.com,2125550101,123 Elm St,,Brooklyn,NY,11201,Democrat,Hispanic,Female,Complete,2025-03-15,Online,S001,Canvass,Brooklyn Office,NY,P01,2025-03-15 09:00,2025-03-15 17:00,2025-03-15 09:00,2025-03-15 17:00,TRUE,Mobile,FALSE,EVC001
2,James,,Williams,Jr.,Mr.,Mr.,1985-07-22,james.williams@yahoo.com,3475550202,456 Oak Ave,Apt 3B,Bronx,NY,10451,Republican,Black,Male,Complete,2025-02-20,Phone,S002,Phone Bank,Bronx Office,NY,P01,2025-02-20 10:00,2025-02-20 18:00,2025-02-20 10:00,2025-02-20 18:00,TRUE,Landline,FALSE,EVC002
3,Maria,L,Gonzalez,,Ms.,Ms.,1990-04-12,maria.gonzalez@gmail.com,2125550101,123 Elm St,,Brooklyn,NY,11201,Democrat,Hispanic,Female,Complete,2025-03-15,Online,S001,Canvass,Brooklyn Office,NY,P01,2025-03-15 09:00,2025-03-15 17:00,2025-03-15 09:00,2025-03-15 17:00,TRUE,Mobile,FALSE,EVC003
4,Aisha,,Johnson,,Ms.,Ms.,1995-11-03,aisha.j@,7185550303,789 Maple Rd,,Queens,NY,11370,Democrat,Black,Female,Incomplete,2025-01-10,Online,S003,Canvass,Queens Office,NY,P02,2025-01-10 08:00,2025-01-10 16:00,2025-01-10 08:00,2025-01-10 16:00,TRUE,Mobile,FALSE,EVC004
5,Robert,,Smith,,Mr.,Mr.,1940-01-15,robert.smith@hotmail.com,9175550404,321 Pine St,,Manhattan,NY,10001,Independent,White,Male,Complete,2025-04-01,Mail,S004,Canvass,Manhattan Office,NY,P02,2025-04-01 09:00,2025-04-01 17:00,2025-04-01 09:00,2025-04-01 17:00,TRUE,Landline,FALSE,EVC005
6,Priya,,Patel,,Ms.,Ms.,2009-06-20,priya.patel@gmail.com,6465550505,654 Cedar Blvd,,Staten Island,NY,10301,Democrat,Asian,Female,Complete,2025-03-22,Online,S005,Phone Bank,Staten Island Office,NY,P03,2025-03-22 10:00,2025-03-22 18:00,2025-03-22 10:00,2025-03-22 18:00,FALSE,Mobile,FALSE,EVC006
7,Carlos,M,Rivera,,Mr.,Mr.,1978-09-14,carlos.rivera@outlook.com,17185550606,987 Birch Lane,,Bronx,NY,10452,Democrat,Hispanic,Male,Complete,2025-02-14,Online,S006,Canvass,Bronx Office,NY,P03,2025-02-14 09:00,2025-02-14 17:00,2025-02-14 09:00,2025-02-14 17:00,TRUE,Mobile,FALSE,EVC007
8,Linda,,Chen,,Ms.,Ms.,1988-03-30,linda.chen@gmail.com,7185550707,147 Walnut St,Unit 2,Flushing,NY,11354,Democrat,Asian,Female,Incomplete,2025-03-05,Phone,S007,Phone Bank,Queens Office,NY,P04,2025-03-05 10:00,2025-03-05 18:00,2025-03-05 10:00,2025-03-05 18:00,TRUE,Mobile,TRUE,EVC008
9,James,,Williams,Jr.,Mr.,Mr.,1985-07-22,james.williams@yahoo.com,3475550202,456 Oak Ave,Apt 3B,Bronx,NY,10451,Republican,Black,Male,Incomplete,2025-02-20,Phone,S002,Phone Bank,Bronx Office,NY,P01,2025-02-20 10:00,2025-02-20 18:00,2025-02-20 10:00,2025-02-20 18:00,TRUE,Landline,FALSE,EVC009
10,Fatima,,Hassan,,Ms.,Ms.,1992-12-08,fatima.hassan@gmail.com,2125550808,258 Spruce St,,Harlem,NY,10037,Democrat,Black,Female,Complete,2025-04-05,Online,S008,Canvass,Manhattan Office,NY,P04,2025-04-05 09:00,2025-04-05 17:00,2025-04-05 09:00,2025-04-05 17:00,TRUE,Mobile,FALSE,EVC010
11,David,,Kim,,Mr.,Mr.,1983-05-17,david.kim@,5515550909,369 Ash Ave,,Jersey City,NJ,07302,Democrat,Asian,Male,Complete,2025-03-18,Online,S009,Canvass,NJ Office,NJ,P05,2025-03-18 09:00,2025-03-18 17:00,2025-03-18 09:00,2025-03-18 17:00,TRUE,Mobile,FALSE,EVC011
12,Nicole,,Thompson,,Ms.,Ms.,1997-08-25,nicole.thompson@gmail.com,9295551010,741 Poplar Rd,,Brooklyn,NY,11203,Democrat,Black,Female,Incomplete,2025-01-28,Mail,S010,Phone Bank,Brooklyn Office,NY,P05,2025-01-28 10:00,2025-01-28 18:00,2025-01-28 10:00,2025-01-28 18:00,TRUE,Landline,FALSE,EVC012
13,Miguel,A,Santos,,Mr.,Mr.,1975-02-11,miguel.santos@hotmail.com,7185551111,852 Hickory Blvd,,Bronx,NY,10456,Republican,Hispanic,Male,Complete,2025-03-28,Online,S011,Canvass,Bronx Office,NY,P06,2025-03-28 09:00,2025-03-28 17:00,2025-03-28 09:00,2025-03-28 17:00,TRUE,Mobile,FALSE,EVC013
14,Yuki,,Tanaka,,Ms.,Ms.,1991-10-07,yuki.tanaka@gmail.com,6465551212,963 Chestnut St,,Astoria,NY,11102,Democrat,Asian,Female,Complete,2024-04-15,Online,S012,Phone Bank,Queens Office,NY,P06,2024-04-15 10:00,2024-04-15 18:00,2024-04-15 10:00,2024-04-15 18:00,TRUE,Mobile,TRUE,EVC014
